,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response,city
156,0,1,2,1,0,0,0.0,12,4.027594211826226,1,C3
157,1,1,2,2,1,3,1.0,16,4.352876833977717,0,C1
165,1,1,2,2,1,15,3.0,17,4.079716545874891,1,C27
166,1,1,4,4,1,15,3.0,18,4.462682442493008,0,C22
170,0,1,3,2,1,0,0.0,18,4.439253724017898,0,C10
171,1,1,3,3,1,0,0.0,19,4.3746163884007725,1,C11
174,1,1,4,3,1,15,3.0,18,4.5124709312426505,0,C2
179,1,1,3,3,1,1,4.0,16,4.466571072386354,0,C1
180,1,1,3,1,0,2,3.0,21,4.423232762962093,0,C7
183,1,1,4,3,1,0,0.0,22,4.4206553400742825,1,C9
184,0,1,3,3,1,0,0.0,22,4.319780410367508,0,C2
202,0,1,4,3,0,0,0.0,19,4.442968663018262,0,C11
205,1,1,1,1,0,0,0.0,6,4.2604530176070865,0,C34
206,1,1,3,3,1,0,0.0,18,4.389860400230887,1,C3
207,1,1,3,1,1,5,1.0,19,4.339252634032699,1,C7
210,1,1,3,3,1,0,0.0,7,4.221674997070769,0,C1
217,0,1,1,1,1,0,0.0,4,3.7374312005145827,0,C9
219,1,1,4,4,1,15,3.0,18,4.521974471987394,1,C3
226,1,1,4,4,1,0,0.0,18,4.48378692670438,0,C1
229,0,1,2,2,1,3,2.0,1,4.089028576818532,0,C18
235,1,1,3,1,1,3,3.0,14,4.133794300604513,0,C19
238,1,1,2,1,1,4,3.0,18,4.115730300526777,0,C3
242,1,1,3,3,1,9,1.0,19,4.343243116765504,0,C1
248,1,1,1,1,1,0,0.0,21,4.037553978526232,0,C5
250,0,1,2,2,1,0,0.0,18,4.094345329238209,1,C2
252,1,1,2,2,1,1,1.0,9,4.292256071356476,0,C3
259,1,1,2,2,1,5,3.0,21,4.305179337564041,0,C2
260,1,1,3,1,1,0,0.0,22,4.317164585323156,0,C2
264,1,1,3,1,1,15,1.0,1,4.336571795384928,0,C1
270,1,1,1,1,1,0,0.0,2,3.8331216019429166,0,C17
271,1,1,3,2,0,0,0.0,16,4.451995092280529,0,C17
274,1,1,3,3,1,0,0.0,20,4.334437665872242,0,C1
278,1,1,2,2,1,5,1.0,19,4.349269754790224,0,C7
283,1,1,3,3,1,0,0.0,18,4.296454572176946,0,C22
297,0,1,1,1,1,0,0.0,5,4.173722247504464,0,C5
299,0,1,3,2,0,7,2.0,18,4.3506820958134815,0,C3
301,0,1,2,2,1,1,1.0,18,4.204857656429958,0,C4
306,0,1,2,1,0,0,0.0,13,4.246498580795801,0,C21
310,0,1,2,1,0,0,0.0,14,4.418751928049064,0,C9
312,0,1,3,3,1,7,3.0,20,4.352792032669174,0,C1
338,1,1,4,1,0,5,2.0,17,4.514005542316118,0,C18
346,1,1,2,2,0,0,0.0,19,4.251472743409859,0,C4
348,1,1,3,2,1,0,0.0,21,4.332761535609808,0,C1
350,1,1,3,1,1,0,0.0,22,4.322653372213238,0,C18
355,1,1,3,3,1,5,4.0,4,4.270296768427931,0,C9
360,1,1,3,3,1,6,4.0,2,4.345059905610447,0,C7
363,1,1,3,3,1,1,1.0,16,4.399950474386311,0,C1
365,1,1,4,4,1,2,3.0,21,4.492011248609951,1,C9
366,1,1,2,1,0,10,3.0,15,4.287201361945713,1,C2
367,1,1,3,2,1,1,1.0,16,4.478000534167136,0,C18
369,0,1,3,2,1,2,1.0,19,4.460837728633412,0,C12
373,1,1,2,2,1,6,3.0,1,4.289365951520032,0,C8
374,1,1,2,2,1,0,0.0,21,4.333729323156598,1,C1
381,1,1,2,2,1,0,0.0,13,3.9427023688886678,0,C8
387,0,1,3,3,1,14,3.0,22,4.428069969119063,0,C1
389,1,1,3,2,1,3,3.0,18,4.371437317404101,0,C10
392,1,1,3,1,0,4,3.0,18,4.374968186299234,1,C3
395,1,1,3,3,1,3,3.0,21,4.406553805145157,1,C11
402,1,1,3,3,1,9,3.0,16,4.374253298101757,0,C2
403,1,1,4,3,0,1,3.0,22,4.4038751599094,0,C2
405,1,1,4,1,0,14,2.0,12,4.4293258486218265,1,C9
409,1,1,2,1,1,0,0.0,22,3.957128197676813,0,C6
410,1,1,4,4,1,0,0.0,19,4.3513865476822975,0,C1
412,1,1,2,1,0,3,4.0,6,4.315802469737045,0,C34
417,1,1,4,3,1,0,0.0,19,4.385927854125336,0,C19
424,1,1,2,1,0,1,3.0,14,4.239709799899382,0,C11
429,0,1,1,1,0,1,4.0,14,4.033520254650085,1,C2
433,1,1,2,1,0,0,0.0,5,4.292300384859081,0,C1
435,1,1,2,1,0,7,1.0,22,4.259498314030925,1,C1
436,1,1,3,3,1,0,0.0,8,4.408579125408668,0,C1
439,0,1,2,1,1,2,2.0,21,4.179551791165188,1,C20
447,1,1,3,3,1,15,3.0,3,4.4627722284106115,1,C2
452,1,1,4,4,1,0,0.0,5,4.48989101096394,0,C16
454,1,1,3,3,1,0,0.0,5,4.352182518111363,0,C8
457,1,1,3,3,1,0,0.0,1,4.411215523075143,0,C22
460,0,1,2,2,1,8,3.0,11,4.167813387893943,0,C2
462,0,1,1,1,1,0,0.0,9,3.9339324898168604,0,C3
469,1,1,4,4,1,10,3.0,14,4.436302616843199,0,C29
471,0,1,4,3,1,1,3.0,18,4.481746385055843,0,C20
483,1,1,4,2,0,1,3.0,2,4.425534220498263,0,C4
487,1,1,2,1,1,4,3.0,20,4.263233538439489,0,C1
490,1,1,3,2,1,1,1.0,6,4.254548077108974,0,C29
491,1,1,3,3,1,4,3.0,19,4.27684767224119,0,C1
493,1,1,3,3,1,6,4.0,10,4.306038816336349,0,C4
494,1,1,3,3,1,0,0.0,17,4.321225485417176,0,C9
510,1,1,2,1,1,5,1.0,19,4.1082605049764735,0,C7
521,1,1,4,4,1,6,4.0,18,4.522350321843741,0,C1
532,1,1,2,1,0,0,0.0,16,4.311605540054468,0,C15
546,1,1,3,2,0,6,4.0,16,4.363205696370271,0,C11
548,1,1,3,1,0,5,4.0,17,4.407152869670635,1,C3
549,1,1,2,2,1,0,0.0,20,4.314393957221963,0,C24
562,1,1,4,4,1,3,3.0,17,4.5230593742165945,0,C1
566,1,1,2,1,1,0,0.0,21,4.158458991258385,0,C7
567,1,1,3,3,1,0,0.0,7,4.3506820958134815,0,C1
573,1,1,2,1,0,3,2.0,20,4.339920265958036,0,C6
577,1,1,1,1,1,0,0.0,15,3.9682961150462557,1,C21
586,0,1,2,2,1,3,1.0,12,4.092334589521021,0,C2
592,1,1,3,3,1,15,3.0,21,4.309221227205567,0,C27
604,1,1,3,3,1,0,0.0,20,4.510545010206612,1,C3
605,1,1,4,1,1,1,2.0,1,4.529060584670827,0,C17
613,1,1,2,2,1,5,3.0,22,4.319397574051826,1,C15
626,0,1,2,1,1,7,1.0,16,4.23390945348778,1,C27
630,1,1,2,2,1,0,0.0,22,4.348507356757861,0,C6
632,1,1,2,2,1,9,3.0,21,4.153705133982577,0,C2
643,1,1,3,1,0,6,4.0,22,4.444154136878365,1,C10
646,0,1,3,1,0,1,1.0,1,4.427388722733251,0,C5
657,1,1,4,3,1,4,4.0,22,4.285251169787817,1,C22
672,1,1,2,2,1,4,4.0,19,4.053923150548575,0,C1
675,0,1,2,2,1,1,1.0,19,4.426628358695596,0,C11
678,0,1,3,2,1,3,1.0,16,4.234314768012676,1,C17
680,0,1,2,1,1,7,2.0,13,4.172416097702181,0,C24
682,0,1,2,2,1,2,1.0,17,4.2680160207819196,0,C6
694,0,1,3,2,1,0,0.0,7,4.303843774888654,0,C4
697,0,1,2,2,1,5,1.0,20,4.23390945348778,0,C21
704,1,1,4,4,1,6,3.0,14,4.430423383908765,0,C7
709,0,1,1,1,1,9,2.0,20,3.879210605291759,0,C3
715,1,1,3,3,1,0,0.0,19,4.343290402353433,0,C15
716,1,1,2,1,1,2,3.0,19,4.314625519201271,0,C1
737,1,1,4,2,0,3,3.0,18,4.4081992482955314,0,C10
739,1,1,2,2,0,15,1.0,12,4.23618444288015,1,C1
765,1,1,3,3,1,15,1.0,20,4.448397103457768,0,C8
768,1,1,2,2,1,7,3.0,22,4.137132476008993,0,C2
772,0,1,2,1,0,2,1.0,15,4.158362492095249,1,C13
775,1,1,3,1,0,0,0.0,22,4.48696858549057,0,C2
782,0,1,3,1,0,15,1.0,1,4.458668059764898,0,C19
783,1,1,2,2,1,8,3.0,22,4.238357277841095,0,C2
787,1,1,3,3,1,0,0.0,20,4.274527304396044,1,C7
798,1,1,2,1,0,5,3.0,9,4.1604805363292465,1,C3
812,0,1,4,4,1,15,3.0,2,4.5251796118626055,0,C3
813,1,1,4,4,1,8,3.0,19,4.460837728633412,0,C1
819,1,1,4,2,0,15,3.0,10,4.458136043516961,0,C8
820,0,1,1,1,1,0,0.0,16,3.9564085711958326,1,C25
829,1,1,3,1,0,5,1.0,1,4.464191370640999,0,C15
830,1,1,4,3,1,0,0.0,2,4.407968446402159,0,C9
834,1,1,3,2,1,2,1.0,19,4.471573324263599,0,C1
843,1,1,3,1,0,11,1.0,11,4.450618563451726,0,C2
844,0,1,3,1,1,0,0.0,16,4.461702570237305,0,C25
847,1,1,4,4,1,2,3.0,12,4.462853019868738,0,C1
849,0,1,1,1,1,4,3.0,11,4.219689289085805,1,C2
862,1,1,3,1,1,1,3.0,14,4.411700497421356,0,C14
869,1,1,4,4,1,6,4.0,17,4.377247952594133,0,C2
874,1,1,3,1,0,11,2.0,21,4.335176972770027,0,C4
879,0,1,1,1,1,6,1.0,19,4.1447360649933325,0,C1
892,1,1,4,3,1,5,1.0,21,4.449879338623202,0,C6
907,1,1,4,4,1,3,4.0,22,4.484014962667563,1,C3
911,1,1,3,3,1,10,3.0,16,4.405626349709163,0,C1
915,1,1,3,1,0,15,3.0,18,4.1844870088407,0,C1
921,1,1,2,1,0,1,2.0,16,4.279347492410732,1,C24
927,1,1,2,2,1,0,0.0,21,4.1502773775782975,1,C11
928,0,1,2,1,1,1,3.0,16,4.3419881690481885,0,C16
930,1,1,4,3,1,6,2.0,16,4.409432635965534,0,C1
931,1,1,3,1,1,11,1.0,21,4.342856758301525,1,C1
932,0,1,2,2,1,0,0.0,14,4.142639707832417,0,C28
933,0,1,2,1,0,7,3.0,12,4.193792230279798,0,C24
937,1,1,1,1,0,0,0.0,1,4.005780899954653,0,C15
941,1,1,2,1,0,5,3.0,22,4.241596282154071,0,C5
943,1,1,3,3,1,0,0.0,4,4.399950474386311,1,C22
951,1,1,4,3,1,15,3.0,22,4.475566596457689,0,C2
958,1,1,2,1,0,5,3.0,16,4.050735399493686,0,C1
960,1,1,2,1,0,0,0.0,19,4.340206080040022,1,C1
961,1,1,2,1,1,4,1.0,16,4.322971420181977,0,C1
962,1,1,4,4,1,0,0.0,15,4.424751002104017,0,C15
965,1,1,2,1,1,1,3.0,9,3.965013450272248,0,C4
968,1,1,4,4,1,4,3.0,22,4.48847174668808,1,C1
970,0,1,2,1,0,13,3.0,11,4.311669112400611,0,C2
972,0,1,2,1,0,12,1.0,20,4.1355778533449294,1,C29
976,1,1,2,2,1,0,0.0,16,4.044477041859281,0,C8
978,1,1,2,1,0,0,0.0,22,4.388811413473523,1,C1
979,1,1,4,4,1,0,0.0,8,4.474018017326781,0,C1
980,1,1,4,1,0,0,0.0,15,4.464859002566336,1,C2
981,1,1,2,2,1,7,4.0,18,4.330478709725194,1,C3
989,0,1,1,1,1,0,0.0,17,4.175024480809708,1,C1
994,1,1,2,2,1,0,0.0,21,4.295083059251656,0,C3
999,1,1,3,2,1,15,3.0,5,4.452644967679994,0,C4
1003,1,1,3,1,0,2,1.0,1,4.313360951244128,0,C12
1020,1,1,3,2,1,0,0.0,5,4.336827827511373,1,C6
1030,1,1,4,3,1,1,3.0,1,4.345883212931713,0,C19
1042,1,1,3,2,1,15,3.0,17,4.253473701150333,1,C3
1045,0,1,3,1,0,0,0.0,22,4.442090768072261,0,C2
1052,1,1,4,3,1,14,3.0,17,4.50275476578036,0,C1
1055,1,1,4,4,1,4,3.0,21,4.474181285930923,0,C2
1057,0,1,2,2,1,9,3.0,10,4.1697919538760315,0,C9
1065,1,1,2,2,1,2,3.0,21,4.2265483538414115,1,C21
1068,1,1,3,3,1,2,3.0,22,4.320827324049014,1,C7
1071,1,1,3,3,1,2,2.0,20,4.370372434610085,0,C1
1076,1,1,3,3,1,1,1.0,22,4.3544618801761885,0,C6
1077,1,1,3,1,1,0,0.0,21,4.456098692719307,1,C20
1089,0,1,2,1,1,6,1.0,4,4.149588567787744,1,C8
1093,1,1,3,3,0,2,3.0,16,4.369364308781235,0,C3
1096,1,1,2,2,1,2,1.0,12,4.034981202661174,0,C6
1097,1,1,2,2,1,15,3.0,6,4.2411478624117,0,C12
1098,1,1,3,3,1,0,0.0,17,4.410000712543462,1,C3
1107,1,1,3,3,1,15,3.0,22,4.2994549971691445,1,C2
1110,1,1,3,1,1,4,3.0,22,4.343408593803857,1,C2
1118,1,1,1,1,1,0,0.0,18,4.15190893563289,0,C7
1119,0,1,2,1,1,2,2.0,17,4.157783046403016,0,C16
1128,1,1,3,2,1,0,0.0,22,4.354838055584639,1,C2
1137,1,1,3,3,1,5,2.0,12,4.430152486000884,0,C3
1140,1,1,4,2,0,3,3.0,15,4.560375362173725,1,C2
1141,1,1,2,2,1,1,3.0,19,4.342248928276619,0,C24
1142,0,1,3,1,1,6,4.0,17,4.402557117981487,0,C8
1153,1,1,3,1,1,0,0.0,22,4.514388349288373,0,C2
1154,0,1,4,4,1,0,0.0,17,4.392148023991005,0,C32
1157,0,1,1,1,1,1,1.0,18,4.041076719715475,0,C15
1161,1,1,1,1,1,5,3.0,18,4.0435351753398185,0,C3
1166,1,1,3,3,1,8,2.0,18,4.348507356757861,0,C6
1168,1,1,3,3,1,2,4.0,17,4.470398729287027,0,C14
1171,0,1,2,1,0,7,2.0,10,4.331224781020732,0,C26
1179,0,1,2,1,0,0,0.0,1,4.350465111306393,0,C17
1181,1,1,4,4,1,3,1.0,19,4.379515814049955,0,C1
1182,1,1,4,4,1,9,3.0,18,4.4497868469857735,1,C1
1184,1,1,4,3,0,0,0.0,5,4.340586873121764,0,C1
1190,1,1,4,4,1,7,1.0,20,4.42595136014556,0,C1
1192,0,1,1,1,1,0,0.0,22,4.127156651326711,0,C2
1193,1,1,3,1,1,3,3.0,21,4.275771900164932,0,C25
1196,0,1,4,4,1,0,0.0,17,4.449092531119419,1,C1
1198,0,1,4,4,1,15,4.0,7,4.54859085456438,0,C1
1204,1,1,2,2,1,1,3.0,21,4.200741090235126,0,C8
1225,1,1,4,3,1,0,0.0,18,4.472697954538768,1,C1
1236,0,1,2,2,1,0,0.0,21,4.3506820958134815,1,C2
1239,1,1,4,4,1,6,2.0,13,4.4337506381644305,1,C1
1247,1,1,2,2,1,8,1.0,22,4.2153519929752905,1,C2
1248,0,1,3,2,1,1,1.0,22,4.2503809628480465,1,C6
1251,1,1,2,1,1,3,3.0,22,4.118978591525468,1,C4
1252,1,1,4,4,1,10,4.0,22,4.537688157579913,1,C1
1257,1,1,3,1,1,0,0.0,18,4.459488986922366,1,C2
1262,1,1,1,1,1,0,0.0,17,3.966986025117938,1,C1
1263,0,1,4,3,0,0,0.0,19,4.437763242766138,0,C17
1265,0,1,1,1,1,2,2.0,13,4.092187096063362,1,C5
1270,0,1,2,2,1,1,1.0,20,4.351487090449711,0,C8
1275,0,1,3,1,0,4,2.0,14,4.31591998955427,0,C15
1276,1,1,4,3,1,15,2.0,20,4.40212376240064,0,C1
1278,1,1,4,3,1,0,0.0,22,4.327514230761455,0,C1
1285,1,1,3,3,1,15,4.0,8,4.476947502174075,0,C1
1289,1,1,3,3,1,0,0.0,21,4.405004665050369,0,C10
1292,1,1,4,3,1,0,0.0,16,4.520090328112842,0,C3
1293,1,1,3,3,1,15,3.0,15,4.251550622811467,0,C2
1305,1,1,2,2,1,9,2.0,13,4.333197306908661,0,C2
1310,1,1,2,2,1,0,0.0,16,4.295874845217379,0,C12
1311,1,1,3,2,0,2,3.0,19,4.36608659902,0,C1
1313,1,1,2,1,0,7,3.0,18,4.2345172835126865,0,C1
1315,1,1,2,2,1,12,2.0,1,4.285669805960068,0,C5
1323,1,1,4,2,1,0,0.0,18,4.500697427795044,0,C2
1324,1,1,4,4,1,14,3.0,18,4.444369614174724,0,C2
1325,1,1,2,2,1,0,0.0,16,4.318543299122021,0,C3
1329,1,1,4,3,1,15,4.0,22,4.316624441423086,1,C4
1331,1,1,3,1,1,15,3.0,18,4.279027805622721,1,C1
1335,1,1,4,3,0,5,2.0,20,4.536315977980565,0,C18
1336,1,1,2,1,1,2,3.0,16,4.26528962586083,0,C3
1337,1,1,1,1,1,4,1.0,7,4.260796197776586,0,C9
1339,1,1,4,3,1,15,3.0,14,4.446562018693456,0,C7
1340,1,1,4,4,1,5,4.0,22,4.560451842667346,1,C1
1342,1,1,2,2,1,7,3.0,22,4.191115522380306,0,C2
1343,1,1,3,3,1,7,3.0,16,4.3451933089234,0,C12
1347,1,1,3,3,1,3,2.0,2,4.477815570586017,0,C1
1349,1,1,4,4,1,5,4.0,22,4.398495550138137,1,C1
1350,1,1,4,3,1,15,3.0,21,4.508287254380321,0,C1
1351,1,1,2,1,1,6,2.0,18,4.06550502309839,1,C5
1354,0,1,1,1,1,5,1.0,7,3.9585638832219674,1,C17
1356,0,1,4,3,1,6,2.0,17,4.513750150081823,0,C1
1360,1,1,3,3,1,15,3.0,6,4.265925747764311,0,C13
1364,1,1,4,3,1,4,3.0,16,4.399466041004344,0,C1
1366,1,1,2,1,1,2,3.0,5,4.000694315866355,0,C8
1369,1,1,3,3,1,15,4.0,15,4.257457772382388,0,C7
1371,1,1,4,4,1,6,3.0,22,4.504715466545888,1,C26
1373,0,1,3,3,1,11,3.0,20,4.241646078001389,0,C11
1393,1,1,4,3,1,7,3.0,22,4.621695462329279,0,C2
1395,1,1,3,2,1,12,3.0,22,4.313976834268267,1,C1
1402,1,1,2,1,0,2,2.0,17,4.289299028878417,1,C4
1408,1,1,3,1,0,4,3.0,3,4.254693059411072,0,C2
1412,1,1,3,3,1,3,1.0,1,4.271562825432305,0,C19
1428,1,1,4,2,1,15,3.0,18,4.533558543435376,0,C3
1429,1,1,3,3,1,7,4.0,4,4.248708735600918,0,C26
1433,1,1,4,3,1,5,3.0,22,4.426433178933243,0,C2
1435,1,1,4,1,0,1,3.0,14,4.534249545143449,0,C21
1443,1,1,3,2,1,0,0.0,14,4.379631796019372,0,C7
1444,1,1,4,3,1,0,0.0,4,4.375758691186744,0,C16
1450,1,1,2,1,1,15,1.0,15,4.093757783062593,1,C7
1451,1,1,3,2,1,1,4.0,19,4.317737491894904,0,C11
1459,1,1,1,1,1,0,0.0,20,4.154728207440155,0,C6
1461,1,1,3,2,0,0,0.0,17,4.374014740291911,0,C11
1466,0,1,2,2,1,0,0.0,17,4.365188368127099,0,C5
1473,1,1,2,2,1,0,0.0,2,4.240249631518799,0,C16
1477,0,1,2,2,1,15,3.0,5,4.383269463017074,1,C6
1480,1,1,3,3,1,12,3.0,18,4.403518585015541,0,C2
1487,0,1,2,2,1,4,1.0,16,4.351661051790672,0,C3
1495,0,1,3,1,0,1,2.0,16,4.453792135344474,0,C1
1498,0,1,1,1,1,0,0.0,8,4.147515559164879,0,C4
1503,1,1,2,2,1,15,2.0,21,4.26979304386123,0,C22
1505,1,1,4,4,1,0,0.0,18,4.459362327372962,1,C8
1511,0,1,4,3,1,9,2.0,18,4.487166667355761,0,C10
1515,1,1,3,3,1,15,1.0,13,4.437116093048078,0,C1
1516,1,1,4,4,1,3,3.0,13,4.393364585185002,0,C1
1517,0,1,3,1,0,0,0.0,20,4.412171481614467,0,C6
1519,1,1,3,1,1,3,2.0,13,4.4540517392901195,1,C10
1524,1,1,3,3,1,15,4.0,22,4.293030905606437,0,C1
1526,1,1,4,3,1,8,3.0,18,4.450618563451726,0,C2
1532,1,1,3,3,0,1,3.0,17,4.50666735514341,0,C23
1540,1,1,3,1,0,3,4.0,22,4.389151903088693,0,C4
1543,1,1,3,1,1,9,3.0,15,4.321788923218367,0,C2
1546,1,1,3,3,1,2,4.0,11,4.310905629376141,1,C2
1556,1,1,2,1,0,1,2.0,21,4.20133156548843,0,C11
1558,1,1,2,1,1,3,1.0,15,4.317164585323156,0,C3
1563,1,1,4,2,0,15,3.0,18,4.402845781655725,1,C21
1565,1,1,3,1,1,15,4.0,10,4.294730690484331,0,C13
1566,1,1,3,3,1,9,4.0,15,4.36455849929747,1,C2
1571,0,1,2,2,1,0,0.0,20,4.066773037085025,0,C3
1573,1,1,4,4,1,1,3.0,16,4.56780715854547,0,C17
1574,1,1,3,3,1,15,4.0,22,4.326139154735956,0,C2
1575,0,1,3,1,0,15,4.0,3,4.4038751599094,0,C2
1578,1,1,3,1,0,0,0.0,16,4.365428078072141,0,C24
1579,1,1,1,1,1,4,2.0,13,4.038890270294055,0,C7
1582,1,1,3,1,0,15,3.0,14,4.447158031342219,0,C21
1583,0,1,1,1,1,3,3.0,22,4.2449447527271795,0,C9
1584,1,1,3,3,1,2,3.0,22,4.3734416663377615,0,C1
1592,0,1,2,1,1,0,0.0,16,4.167671716230021,0,C11
1594,0,1,2,2,1,15,3.0,22,4.278204671684168,0,C3
1596,1,1,2,2,1,3,1.0,2,4.158362492095249,0,C11
1600,1,1,4,2,1,2,3.0,21,4.452681724015499,0,C8
1603,1,1,3,3,1,15,2.0,21,4.282975385635692,0,C1
1611,1,1,3,1,1,2,3.0,21,4.503758007635001,0,C7
1614,0,1,2,1,0,1,2.0,19,4.248346059768608,0,C15
1616,0,1,2,1,1,2,2.0,19,4.095378599560064,1,C7
1624,1,1,3,3,1,15,3.0,16,4.322318550700961,0,C1
1625,1,1,3,2,0,3,3.0,22,4.305454555876104,0,C12
1630,1,1,3,3,1,5,3.0,22,4.355589430308226,0,C1
1634,0,1,3,1,1,0,0.0,18,4.342856758301525,0,C2
1639,1,1,4,4,1,0,0.0,3,4.527640210410262,0,C2
1640,0,1,3,3,1,1,3.0,20,4.262071212617293,1,C1
1643,1,1,3,3,1,1,1.0,9,4.318130144359387,0,C4
1647,0,1,2,2,1,4,1.0,18,4.284656282788515,0,C10
1653,1,1,3,3,1,10,3.0,8,4.453562944098507,1,C4
1656,1,1,2,2,1,0,0.0,16,4.114424150724494,0,C1
1657,1,1,2,2,1,0,0.0,19,4.038222638368718,0,C3
1661,1,1,3,3,1,8,2.0,16,4.5060176998511325,0,C1
1663,0,1,1,1,1,5,3.0,22,4.174699288370776,0,C1
1666,1,1,2,2,1,7,3.0,8,4.287622602486192,0,C9
1668,1,1,4,4,1,0,0.0,19,4.483056405957024,0,C11
1670,0,1,4,3,1,3,4.0,17,4.385177128818429,0,C8
1672,1,1,4,4,1,0,0.0,16,4.4497868469857735,0,C1
1677,1,1,4,4,1,15,2.0,18,4.377597626108919,0,C15
1679,1,1,3,1,0,0,0.0,20,4.382233234970556,0,C14
1686,1,1,4,1,0,0,0.0,19,4.575076947072378,0,C3
1694,1,1,2,1,1,2,1.0,16,4.065415376182621,1,C3
1702,1,1,2,1,1,3,3.0,22,4.128399268717806,1,C7
1704,1,1,3,2,0,13,4.0,3,4.40862997658628,0,C2
1718,1,1,3,2,0,0,0.0,13,4.310395894010226,1,C7
1721,1,1,4,1,1,4,4.0,10,4.488099266894404,0,C28
1723,1,1,1,1,1,0,0.0,14,4.095322809916221,0,C3
1725,1,1,2,2,1,0,0.0,14,4.216091973529001,0,C4
1728,0,1,1,1,1,4,3.0,14,4.2353668188886,1,C3
1729,1,1,2,2,1,3,3.0,18,4.062807533172159,0,C2
1730,1,1,1,1,1,4,1.0,6,4.2082263059355824,0,C9
1731,1,1,2,2,1,1,3.0,3,4.214419939295737,0,C2
1734,1,1,3,3,1,1,1.0,1,4.458668059764898,0,C28
1736,0,1,2,2,1,8,2.0,20,4.236864622317388,0,C33
1737,0,1,2,1,0,14,3.0,19,4.2082263059355824,0,C18
1742,0,1,1,1,1,7,1.0,16,4.233270315062046,0,C15
1748,1,1,4,4,1,2,1.0,16,4.516900107383864,0,C10
1753,1,1,1,1,0,2,2.0,22,4.154874164249429,0,C2
1758,0,1,1,1,1,8,3.0,16,3.9177155165594932,0,C3
1764,1,1,2,2,1,9,3.0,17,4.245018870737753,0,C11
1765,1,1,4,3,1,2,3.0,5,4.413534454431142,1,C3
1767,0,1,1,1,1,3,2.0,15,4.127674840723474,1,C18
1771,1,1,2,2,1,3,1.0,20,4.304128464824712,0,C15
1772,0,1,3,3,1,0,0.0,15,4.406948735950354,0,C15
1778,1,1,3,2,1,0,0.0,5,4.312177356439778,0,C1
1783,1,1,4,3,1,0,0.0,19,4.478638631543167,0,C1
1788,1,1,3,2,1,7,4.0,11,4.363205696370271,0,C2
1789,1,1,4,4,1,4,3.0,14,4.471526401408829,0,C1
1796,1,1,3,3,0,7,2.0,17,4.32676993840807,1,C2
1800,1,1,3,1,1,2,1.0,22,4.3074361310944544,1,C18
1801,1,1,4,3,1,0,0.0,19,4.403518585015541,0,C1
1813,1,1,4,2,1,4,3.0,15,4.491187941288685,0,C5
1815,1,1,4,3,1,8,2.0,19,4.494321598243498,0,C1
1816,1,1,3,3,1,0,0.0,20,4.44923765773534,1,C1
1824,1,1,2,1,0,2,3.0,21,4.347197266829544,0,C20
1825,1,1,2,2,1,10,3.0,5,4.385506177739142,0,C4
1826,1,1,4,4,1,4,2.0,2,4.3869446243705745,0,C3
1831,1,1,3,1,1,0,0.0,13,4.44533015328166,0,C1
